Sample number,Location,Variety,Altitude (m.a.s.l),GeoRef.,RI Accesssion
1,Totontepec,"Landraces ""Oloton""",1877,"N 17°15'23.83"" W 96° 1'44.32""",RIMMA0763
2,Totontepec,"Landraces ""Oloton""",1903,N 17° 15.281' W 096° 01.921',RIMMA0764
3,Totontepec,"Landraces ""Oloton""",1853,N 17° 15.512' W 096° 01.699',RIMMA0765
4,Totontepec,"Landraces ""Oloton""",1849,N 17° 15.615' W 096° 01.661' ,RIMMA0766
5,Totontepec,"Landraces ""Oloton""",1849,N 17° 15.615' W 096° 01.661' ,RIMMA0767
6,Totontepec,"Landraces ""Oloton""",1877,"N 17°15'23.83"" W 96° 1'44.32""",RIMMA0768
7,Totontepec,"Landraces ""Oloton""",1803,N 17° 15.281' W 096° 01.921',RIMMA0769
8,Totontepec,"Landraces ""Oloton""",1853,N 17° 15.512' W 096° 01.699',RIMMA0770
9,Totontepec,"Landraces ""Oloton""",1849,N 17° 15.615' W 096° 01.661' ,RIMMA0771
10,Totontepec,"Landraces ""Oloton""",1832,N 17° 15.756' W 096° 01.515',RIMMA0772
11,Totontepec,"Landraces ""Oloton""",1903,N 17° 15.281' W 096° 01.921',RIMMA0773
12,Totontepec,"Landraces ""Oloton""",1853,N 17° 15.512' W 096° 01.699',RIMMA0774
13,Totontepec,"Landraces ""Oloton""",1849,N 17° 15.615' W 096° 01.661' ,RIMMA0775
14,Totontepec,"Landraces ""Oloton""",1828,N 17° 15.707' W 096° 01.574',RIMMA0776
15,Totontepec,"Landraces ""Oloton""",1849,N 17° 15.615' W 096° 01.661' ,RIMMA0777
16,Totontepec,"Landraces ""Oloton""",1849,N 17° 15.615' W 096° 01.661' ,RIMMA0778
17,Totontepec,"Landraces ""Oloton""",1832,N 17° 15.756' W 096° 01.515',RIMMA0779
18,Totontepec,"Landraces ""Oloton""",1832,N 17° 15.756' W 096° 01.515',RIMMA0780
19,Teosinte Reference,Huehuetenangensis,,,RIHU0001
20,Oloton Reference,Durango,,,RIMMA0782
21,Santiago Choapan,Landraces,732,N 17° 21'41.08'' W 095° 55'20.74'',RIMMA0783
22,Jalctepec de Candayoc ,Landraces,66,N 17° 21'36.43'' W 095° 16'55.66'',RIMMA0784
23,San Juan Comaltepec ,Landraces,636,N 17° 20'12.69'' W 095° 58'38.13'',RIMMA0785
24,Corn Project Reference,F2 (hybrid) Ol x Hooker,,,RIMMA0786
25,Comercial Reference,Hooker,,,RIMMA0787
26,San Idelfenso Villa alta ,Landraces,1212,"N 17°20'20.95"" W 96° 9'8.54""",RIMMA0788
27,Sta. Maria Temaxcalapa,Landraces,925,N 17° 22.872' W 096° 09.771',RIMMA0789
28,San Cristobal Lachirioag,Landraces,1154,N 17° 20.201' W 096° 09.971',RIMMA0790
29,San Francisco Yateé,Landraces,1632,N 17° 18.603' W 096° 09.944',RIMMA0791
30,San Andres Yaá,Landraces,1697,N 17° 17.628' W 096° 09.184',RIMMA0792
31,San miguel de Metepec,Landraces,2578,N 17° 17.633' W 096° 09.185' ,RIMMA0793
32,Santa Maria Tiltepec,Landraces,2022,N 17° 13.4900' W 096° 05.3301',RIMMA0794
33,San Jose Chinantequilla,Landraces,1174,N 17° 13.832' W 096° 05.545',RIMMA0795
34,Amatepec,Landraces,1933," N 17°16'49.01"" W 96° 0'51.98""",RIMMA0796
35,Tepitongo,Landraces,1583,N 17° 18.0399' W 096° 01.5639',RIMMA0797
36,Moctum,Landraces,1673,"N 17°14'50.08"" W 96° 0'14.02""",RIMMA0798